"CSDUID","Deprivation","EthnicCon","Name","under20","20s","30s","40s","50s","60s","70s","over80","DeprivationModifier","EthnicModifier"
3551006,3,1,"Central Manitoulin (MU)",0.000103391404839051,7.38531458599631e-05,9.11692306787402e-05,0.000110989947085543,0.000181546085719192,0.000288248337028825,0.000348143957526437,0.00023674842942783,0.0134241486659534,0.132321125759746
3551011,3,3,"Assiginack (TP)",7.67097519773606e-05,4.54480897599773e-05,4.70550868019304e-05,6.38192195741871e-05,7.35997644807537e-05,0.000110864745011086,0.000157752730754167,5.91871073569574e-05,0.0134241486659534,0.242733923355498
3551017,4,2,"Northeastern Manitoulin and the Islands (MU)",0.000165092727081711,0.00011930123561994,0.00013528337455555,0.00017480916665973,0.000196266038615343,0.000304086157744694,0.000402541450889943,0.000363577945192739,0.0509556829395033,0.169346756980225
3551021,3,1,"Billings (TP)",2.66816528616907e-05,2.84050560999858e-05,1.76456575507239e-05,3.32969841256628e-05,5.39731606192194e-05,9.18593601520431e-05,8.70359893816093e-05,5.07318063059635e-05,0.0134241486659534,0.132321125759746
3551026,4,2,"Gore Bay (T)",4.66928925079586e-05,3.4086067319983e-05,4.11732009516891e-05,3.60717328028014e-05,7.60530899634455e-05,0.000101362052581565,0.000119674485399713,0.000177561322070872,0.0509556829395033,0.169346756980225
3551027,3,1,"Gordon/Barrie Island (MU)",2.33464462539793e-05,2.27240448799886e-05,1.47047146256033e-05,1.66484920628314e-05,5.15198351365276e-05,7.60215394361736e-05,8.15962400452587e-05,2.53659031529818e-05,0.0134241486659534,0.132321125759746
3551028,5,1,"Burpee and Mills (TP)",1.66760330385567e-05,1.42025280499929e-05,1.76456575507239e-05,1.942324073997e-05,2.94399057923015e-05,5.06810262907824e-05,3.80782453544541e-05,4.22765052549696e-05,0.928687915673553,0.132321125759746
3552001,5,1,"French River (M)",0.000136743470916165,9.08961795199546e-05,0.00013528337455555,0.000169259669305453,0.000267412477613405,0.000380107697180868,0.000337264458853736,0.000169106021019878,0.928687915673553,0.132321125759746
3552004,4,1,"St.-Charles (MU)",7.33745453696493e-05,3.69265729299815e-05,4.99960297270511e-05,9.15667063455728e-05,0.000132479576065357,0.000183718720304086,0.000130553984072414,9.30083115609331e-05,0.0509556829395033,0.132321125759746
3552013,4,1,"Markstay-Warren (MU)",0.000181768760120268,0.000150546797329925,0.000173515632582118,0.000188682910045423,0.000267412477613405,0.00025974025974026,0.000201270725444971,0.000126829515764909,0.0509556829395033,0.132321125759746
3552023,5,2,"Sables-Spanish Rivers (TP)",0.00023846727245136,0.000144865786109928,0.000185279404282601,0.000219205145493947,0.000287039081474939,0.000364269876464998,0.000310065712171983,0.000152195418917891,0.928687915673553,0.169346756980225
3552026,4,3,"Espanola (T)",0.000325182644251855,0.000312455617099844,0.000299976178362307,0.000324645595225212,0.000444051912367214,0.000490972442191954,0.000489577440271552,0.000414309751498702,0.0509556829395033,0.242733923355498
3552028,3,1,"Baldwin (TP)",3.5019669380969e-05,3.97670785399801e-05,2.94094292512065e-05,4.71707275113557e-05,5.88798115846029e-05,8.55242318656953e-05,4.89577440271552e-05,2.53659031529818e-05,0.0134241486659534,0.132321125759746
3552031,3,2,"Nairn and Hyman (TP)",2.0011239646268e-05,1.42025280499929e-05,2.64684863260859e-05,1.942324073997e-05,4.41598586884522e-05,3.48432055749129e-05,2.71987466817529e-05,8.45530105099392e-06,0.0134241486659534,0.169346756980225
3552036,5,1,"Killarney (MU)",1.5008429734701e-05,1.42025280499929e-05,2.05866004758446e-05,2.21979894171085e-05,3.92532077230686e-05,6.01837187203041e-05,5.98372426998564e-05,4.22765052549696e-05,0.928687915673553,0.132321125759746
3552092,5,3,"Chapleau (TP)",0.00013841107422002,0.000107939213179946,0.000129401488705309,0.000127638439148374,0.000181546085719192,0.000177383592017738,0.000163192480090517,0.000186016623121866,0.928687915673553,0.242733923355498
3552093,4,1,"Sudbury, Unorganized, North Part (NO)",0.000121735041181464,0.000102258201959949,0.000117637717004826,0.000163710171951176,0.000316478987267241,0.000424453595185303,0.000342704208190087,0.000126829515764909,0.0509556829395033,0.132321125759746
3553005,3,4,"Greater Sudbury (CV)",0.0114547670941846,0.0115750603607442,0.0115226143806227,0.0114375140471652,0.0127671058119281,0.0128983211910041,0.0134089821141042,0.0133762862626724,0.0134241486659534,0.397478022900578
3554001,4,2,"Coleman (TP)",3.5019669380969e-05,2.55645504899872e-05,3.23503721763272e-05,3.884648147994e-05,5.88798115846029e-05,6.96864111498258e-05,7.07167413725575e-05,3.38212042039757e-05,0.0509556829395033,0.169346756980225
